name|region|link|population|children|pupils|settl_num|revenue|rev_budg_ua|budget|dotation|dot_reverse|area|inst_num|school_13|school_12|school_1|kindergart|extracur|culture|physical|med_assist|dispensary|clinic|ambulance|build_gen|court|civil_prop|retirement|social_prot|fire_secur|treasury|local_govern|
Нижньовербізька територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1280||||||||||||||||||||||||||||||||
Олешанська територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1055||||||||||||||||||||||||||||||||
П’ядицька територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1281||||||||||||||||||||||||||||||||
Печеніжинська територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/745|17657|1124|2050|9|12 900 600|4 752 900|30 000|8 117 700|0|18447|40||||1|0||0|6|4|0|0||true||true|true|true|true|true||
Старобогородчанська територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/744|6120|433|754|5|5 841 600|2 905 000|0|2 936 600|0|8433|20||||1|0|9|0|4|1|0|0||true|true|true|true|true|true|true||
Тлумацька територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1054||||||||||||||||||||||||||||||||
Бобринецька територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/714|12035|417|843|9|15261300|13747600  0  1630700  0|13747600  0  1630700  0|13747600  0  1630700  0|13747600  0  1630700  0|194298||2|2|0|1|0|6|5|3|1|1|0||true|true|true|true|true|true|true||
Великоандрусівська територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/1282||||||||||||||||||||||||||||||||
Великосеверинівська територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/1355||||||||||||||||||||||||||||||||
Ганнівська територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/1163||||||||||||||||||||||||||||||||
Маловисківська територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/748|14116|802|1373|10|18599500|18599500  -  -  -|18599500  -  -  -|18599500  -  -  -|18599500  -  -  -|23183150000||5|false|false|4|2|9|1|6|1|1|false||true|true|true|true|true|true|true||
Новоукраїнська територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/1160|20227|951|2285|12|22 504970||22 504970  200000  -  -|22 504970  200000  -  -|22 504970  200000  -  -|348|15||||4|false|11|false|false|false|false|false|9|4|1|1|1|1|1|4||
Соколівська територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/1155||||||||||||||||||||||||||||||||
Іллінівська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/1268|10467|542|1104|25|21685307|24131947|||-2446640|526.52|60||||7|1|28|0|10|5|0|0||false|false|false|true|false|false|true||
Лиманська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/145|42552|3725||40|54976800|56344300|50000|0|1417500|1209.75|138||||23|1|45|13|19|11|3|0|true|true|true|true|true|true|true|true||
Миколаївська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/150|23589|1339|1546|15|13099844|12242044|857800|0|0|280.4|6||||7|1|7|0|5|2|1|1||true|true|false|false|true|true|true||
Сіверська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/162||||||||||||||||||||||||||||||||
Соледарська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/161|22541|516|906|37|37621298|45654070|0|0|8032772|14.108|||||3|2|3|1|0|1|1|1|||true|false|true|true|false|true||
Черкаська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/165|11116|634|854|11|5877994|6137651|68033|0|0|296.73|7||||7|0|6|0|6|2|0|1||true|false|false|false|false||true||
Шахівська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/154|3384|179|297|14|15677000|15584000|93000|0|0|23176|14|||0|2|0|4|0|5|1|0|0||false|false|false|false|false|false|true||
Андрушківська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/671||||||||||||||||||||||||||||||||
Баранівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/672||||||||||||||||||||||||||||||||
Барашівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/673||||||||||||||||||||||||||||||||
Білокоровицька територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/1269||||||||||||||||||||||||||||||||
Брусилівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/675||||||||||||||||||||||||||||||||
Високівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/677||250||5|2952500|2092100|false|860400|false|9676|21||||4|false|10|false|4|1|false|false|6|1|1|1|1|1|1|1||
Вишевицька територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/738||219||5|2718100|1777400|false|940700|false|1005|19|2|2||1|false|9|false|3|2|false|false||1|1|false|false|false|false|1||
Вільська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/1270||||||||||||||||||||||||||||||||
Городницька територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/681||||||||||||||||||||||||||||||||
Горщиківська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/1271||||||||||||||||||||||||||||||||
Довбиська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/683||||||||||||||||||||||||||||||||
Дубрівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/684|5028|149|504|16|4855000|2822000|0|2033000|0|22051|46||||7|0|20|0|10||0|0|true|true|true|false|true|true|false|true||
Іршанська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/710||379||5||15680600|0|0|2357800|6422|16|||||1|6|1|2|1|0|1|true|true|true|true|true|true|true|true||
Квітнева територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/1272||||||||||||||||||||||||||||||||
Корнинська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/1238|8169|567|975|17|8335500|6103900|248700|1982900|0|3685|44|5|4||4|1|23|1|1|3|1|1|true|true|true|true|true|true|true|true||
Коростишівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/687||||||||||||||||||||||||||||||||
Краснопільська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/688||||||||||||||||||||||||||||||||
Лугинська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/689||||||||||||||||||||||||||||||||
Миропільська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/693||||||||||||||||||||||||||||||||
Народицька територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/694||311||65|10692600|8602000|0|2090600|0|1284|105|8|4|2|14|1|49|1|19|5|1|1|true|true|true|true|true|true|true|true||
Новоборівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/695||388||18|8962400|5930900|0|3031500|0|20975|36|3|2|0|6|1|14|1|6|2|0|1|true|true|true|true|true|true|true|true||
Олевська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/698||||||||||||||||||||||||||||||||
Попільнянська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/699||||||||||||||||||||||||||||||||
Потіївська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/700||181||24|2740100|1397000|0|1343100|0|25849|32|2|1||2|1|16|0|7|1|0|1|true|true|true|true|true|true|true|true||
Семенівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/1273||||||||||||||||||||||||||||||||
Станишівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/1240||||||||||||||||||||||||||||||||
Тетерівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/740||||||||||||||||||||||||||||||||
Ушомирська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/1274||||||||||||||||||||||||||||||||
Хорошівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/1275||||||||||||||||||||||||||||||||
Червоненська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/739|5974|354|527|7|6712500|4965800|100000|1646700|0|15798|31|2|2||6|0|13|0|6|1|0|1|true|true|true|true|true|true|true|true||
Чижівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/1276||||||||||||||||||||||||||||||||
Чоповицька територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/1241||||||||||||||||||||||||||||||||
Калитянська територіальна громада|Київська область|http://decentralization.gov.ua/region/common/id/747|12500|988|1511|6|10 131,3|10 109,1|0|0|0|24564|25|4|0|0|5|0|10|0|3|3|0|0||false|false|false|false|false|false|false||
Пісківська територіальна громада|Київська область|http://decentralization.gov.ua/region/common/id/1210|8321|665|998|3|8089900|6674100|0|1415800|0|15762|15||||4|0|5|0|1|1|0|0||false|false|false|false|false|false|false||
Білокуракинська територіальна громада|Луганська область|http://decentralization.gov.ua/region/common/id/391|13843|802|2388|24|15 911418|15 381318|false||false|788|59||||8|3|17|1|15|2||false||true|true|true|true|true|true|true||
Новопсковська територіальна громада|Луганська область|http://decentralization.gov.ua/region/common/id/404|12 294|417|1248|6|14 182 893|14 182 893|0|0|0||27||||4|2|8|2|3|2|1|0|true|true|true|true|true|true|true|true||
Троїцька територіальна громада|Луганська область|http://decentralization.gov.ua/region/common/id/411||||||||||||||||||||||||||||||||
Чмирівська територіальна громада|Луганська область|http://decentralization.gov.ua/region/common/id/1283||||||||||||||||||||||||||||||||
Бабинська територіальна громада|Львівська область|http://decentralization.gov.ua/region/common/id/766|4302|247|456|10|12009700|2253400|false|1831400||7793|21||||false|false|8|false|7|1|false|false||true|true|true|true|true|true|true||
Бісковицька територіальна громада|Львівська область|http://decentralization.gov.ua/region/common/id/765|6191|466|1017|8|15680700|||2421300||5502|16|||||false|5|false|4|false||false||true|true|true|true|true|true|true||
Великолюбінська територіальна громада|Львівська область|http://decentralization.gov.ua/region/common/id/1071||||||||||||||||||||||||||||||||
Вільшаницька територіальна громада|Львівська область|http://decentralization.gov.ua/region/common/id/763|3082|173|275|9|7033300|555700||1416900||7907|15||||false|false|5||4|1|false|false||true|true|true|true|true|true|true||
Воле-Баранецька територіальна громада|Львівська область|http://decentralization.gov.ua/region/common/id/764|5268|317|473|15|12380100|||2374200||6943|23|||||false|8|false|6|1||false||true|true|true|true|true|true|true||
Гніздичівська територіальна громада|Львівська область|http://decentralization.gov.ua/region/common/id/762|6862|537|908|6|6 354 600|3 904 900|150 000|2 297 400||576||||2|3|0|12|0|3|1||0||true|true|true|true|true|true|true||
Грабовецька територіальна громада|Львівська область|http://decentralization.gov.ua/region/common/id/761|3773|240|386|6|10272075|1525245||1716500|false|65.92|15|||1|1|false|6|false|5|false|false|false||true|true|true|true|false|true|true||
Давидівська територіальна громада|Львівська область|http://decentralization.gov.ua/region/common/id/1284||||||||||||||||||||||||||||||||
Дублянська територіальна громада|Львівська область|http://decentralization.gov.ua/region/common/id/760|3190|99|213|7|7047500|1342000|false|1300600||6635|15||||1|false|7|false|4|false|1|||true|true|true|true|true|true|true||
